cidade,bairro,endereco,lat,lng,referencia,estado,vazao,alteracoes,link
Araranguá,Centro,"Rua Caetano Lumertz, Centro",-28.934083,-49.483444,"Frente ao Giassi do Centro","Hidrante funcionando e em boas condições.","Aguardando teste Gu","Necessário identificá-lo (está ao lado do hidrante de recalque do Supermercado Giassi). Pintar meio-fio e tampa de amarelo.",https://tinyurl.com/37excfy8
Araranguá,Centro,"Rua Dona Caridade, próx. esquina Deputado Ghizzo, Centro",-28.931639,-49.485417,"Fundos do Edifício Vittá e Hospital Bom Pastor","Hidrante NÃO funciona — necessário trocar o adaptador Storz amassado.","Necessita providência","Manutenção da calçada; troca do adaptador Storz; pintar meio-fio e tampa de amarelo.",https://tinyurl.com/3tw6jpyr
Araranguá,Alto Feliz,"Rod. Gov. Jorge Lacerda, esq. Sete de Setembro, Alto Feliz",-28.943278,-49.493111,"Posto Rizotto, na antiga sinaleira","Hidrante funcionando; caixa do hidrante necessita de reparo.","Aguardando teste Gu","Conserto da calçada ao redor da caixa e da própria caixa do hidrante.",https://tinyurl.com/58x6teva
Araranguá,Alto Feliz,"Rod. Gov. Jorge Lacerda, Alto Feliz",-28.949389,-49.486056,"Quartel dos Bombeiros","Sem alterações — hidrante em ordem.","Aguardando teste Gu","Sem alterações.",https://tinyurl.com/39smznbz
Araranguá,Coloninha,"Rua Maestro Serafim Silva, próx. Caetano Lumertz, Coloninha",-28.939028,-49.476444,"Esquina da Clínica Mão Estética com Caetano Lumertz","Hidrante funcionando e em boas condições.","Aguardando teste Gu","Pintar meio-fio e tampa de amarelo.",https://tinyurl.com/2yshe5sb
Araranguá,Sanga da Areia,"BR-101 (Marginal), Sanga da Areia",-28.996278,-49.554,"Pátio do posto de combustível, próx. à passarela de pedestres (canto esquerdo)","Hidrante funcionando e em boas condições.","Aguardando teste Gu","Pintar meio-fio e tampa de amarelo.",https://tinyurl.com/4zmmezxt
Araranguá,Centro,"Av. Padre Antônio Luiz Dias, próx. esq. Getúlio Vargas, Centro",-28.933556,-49.485889,"Academia R10 e Talismã Calçados","Hidrante funcionando e em boas condições.","Aguardando teste Gu","Pintar meio-fio e tampa de amarelo.",https://tinyurl.com/3mumu8pa
Araranguá,Urussanguinha,"Rua Prefeito Walter Belizone, esq. Ruy Stocler de Souza, Urussanguinha",-28.944444,-49.485917,"ETA III - SAMAE","Hidrante funcionando; necessita troca da manopla do registro.","Aguardando teste Gu","Trocar manopla do registro; corrigir altura do hidrante; pintar tampa de amarelo.",https://tinyurl.com/2ab5auvx
Araranguá,Coloninha,"Rua Prof. Silva Soares, próx. esq. Celso Ramos, Coloninha",-28.934194,-49.473417,"Frente à Andiara Móveis","Hidrante funcionando e em boas condições.","Aguardando teste Gu","Pintar meio-fio e tampa de amarelo.",https://tinyurl.com/y8ajczxe
Araranguá,Parque Industrial,"Rua Thiago Dias Lúcio",-28.970611,-49.538778,"Polícia Rodoviária — frente ABF Galvanização, Parque Industrial","Hidrante funcionando e em boas condições.","Aguardando teste Gu","Pintar meio-fio e tampa de amarelo.",https://tinyurl.com/bddh2bht
Araranguá,Centro,"Rua Virgulino de Queiroz, próx. esq. Rui Barbosa, Centro",-28.935722,-49.487389,"Frente Estofaria do Paulista e Stylo Móveis","Hidrante NÃO funciona — registro emperrado.","Necessita providência","Manutenção do registro emperrado; pintar meio-fio e tampa de amarelo.",https://tinyurl.com/39t29z69
Araranguá,Centro,"Av. XV de Novembro, próx. esq. Engenheiro Mesquita, Centro",-28.933444,-49.480556,"Frente Dental Mix e próx. a Workshopp","Hidrante NÃO funciona — registro emperrado.","Necessita providência","Manutenção do registro emperrado; pintar meio-fio e tampa de amarelo.",https://tinyurl.com/5692eetb
Araranguá,Morro dos Conventos,"Rua Euclides Odorico do Canto, próx. Rod. Valdomiro Manoel, Morro dos Conventos",-28.941583,-49.378611,"Próximo à Eskimo Sorvetes","Hidrante NÃO funciona — manopla do registro quebrada.","Necessita providência","Reparar caixa danificada; trocar manopla; realocar ao nível da calçada; pintar meio-fio e tampa.",https://tinyurl.com/wa7esnjf
Maracajá,Centro,"Av. Getúlio Vargas, esquina com Av. Nossa S. da Conceição, Centro",-28.847778,-49.454722,"Calçada lateral da farmácia.","Boas condições, necessita de repintura em amarelo.","Aguardando teste Gu","Limpar caixa de registro (areia/lama); pintar meio-fio e tampa de amarelo; reparar vazamento no registro; ajustar trajeto do piso tátil.",https://tinyurl.com/ypbufa4s
Maracajá,Vila Beatriz,"Av. Nossa Senhora da Conceição, Vila Beatriz",-28.860389,-49.451556,"Frente Pró Active Academia e Supermercado Stuart","Hidrante NÃO funciona — inoperante, caixa de registro totalmente obstruída por areia.","Necessita providências 2 e 3","Urgente: limpar caixa de registro coberta de areia; pintar de amarelo; realocar registro ao nível da calçada.",https://tinyurl.com/3p5r63ck
